match_id,qtr,clock,score,event_type,event101245693,1,11:58,0 — 0,JUMP_BALL,Jump ball won by A. Nerecionis (H).
101245693,1,6:55,9 — 8,FREE_THROW_MADE,Free throw made by F. Abatematteo (A).
101245693,1,6:42,9 — 10,DRIVING_LAYUP,M. Kaprál (H) tries a driving layup, guarded closely by L. Bangyao (A).  Scored.
101245693,1,6:30,9 — 10,TOPKEY,D. Enyego (A) gets off a great pass to H. Butvidas (A). H. Butvidas (A) pulls up at the top of the key and takes a shot.  Shot missed.
101245693,1,6:30,9 — 10,REBOUND,The defensive rebound is snapped up by B. Bulejka (H).
101245693,1,6:07,9 — 10,STRONG,B. Bulejka (H) bullies his way to the basket for a tough inside shot under pressure from F. Abatematteo (A).  Shot blocked.
101245693,1,6:07,9 — 10,REBOUND,F. Abatematteo (A) pulls down a defensive rebound.
101245693,1,5:51,9 — 10,WING, L. Bangyao (A) attempts a jump-shot from the wing, guarded closely by J. Šlapka (H).  Shot missed.
101245693,1,5:51,9 — 10,REBOUND,H. Butvidas (A) cleans the offensive glass.
101245693,1,5:27,11 — 10,DRIVING_LAYUP,L. Bangyao (A) tries a driving layup with B. Bulejka (H) right in his face.  Scored.
101245693,1,5:07,11 — 10,TOPKEY,F. Adamčík (H) pulls up at the top of the key and takes a shot after G. Lagomarsini (A) backed off slightly.   Shot missed.
101245693,1,5:07,11 — 10,REBOUND,G. Lagomarsini (A) grabs the defensive rebound.
101245693,1,4:54,11 — 10,ELBOW,L. Bangyao (A) has plenty of time to set-up, and shoots from near the foul line under pressure from J. Šlapka (H).  Shot missed.
101245693,1,4:54,11 — 10,REBOUND_OOB,A. Biezums (H) tries to grab the defensive rebound, but the ball goes out of bounds.
101245693,1,4:46,11 — 10,DRIVING_LAYUP,H. Butvidas (A) tries a driving layup over J. Šlapka (H).  Shot missed.
101245693,1,4:46,11 — 10,REBOUND,D. Enyego (A) cleans the offensive glass.
101245693,1,4:34,11 — 10,DRIVING_LAYUP,L. Bangyao (A) tries a driving layup, guarded closely by J. Šlapka (H).  Shot blocked.
101245693,1,4:34,11 — 10,REBOUND_OOB,B. Bulejka (H) tries to grab the defensive rebound, but the ball goes out of bounds.
101245693,1,4:23,11 — 10,DRIVING_LAYUP,G. Lagomarsini (A) opens up the play with a pass to H. Butvidas (A). H. Butvidas (A) tries a driving layup.  Shot missed.
101245693,1,4:23,11 — 10,REBOUND,F. Abatematteo (A) flew in from the wing to grab the offensive rebound.
101245693,1,4:14,11 — 10,STEAL_ON_PASS,B. Bulejka (H) intercepted a pass.
101245693,1,4:05,11 — 12,BASELINE_J,A. Biezums (H) gets free for a baseline jumper off of a nice pass from J. Šlapka (H).  Scored.
101245693,1,4:05,11 — 12,ASSIST,J. Šlapka (H) credited with the assist.
101245693,1,4:05,11 — 12,TIME_OUT,30 second timeout called by BK ADIDAS team.
101245693,1,4:05,11 — 12,SUBSTITUTION,M. Ilić (H) comes into the game to replace F. Adamčík (H) at PG.
101245693,1,4:05,11 — 12,SUBSTITUTION,C. Rubio La Fuente (H) brought in for A. Biezums (H) at SF.
101245693,1,4:05,11 — 12,SUBSTITUTION,Change at PF: Â. Frazão (H) in. B. Bulejka (H) out.
101245693,1,4:05,11 — 12,SUBSTITUTION,Substitution at C: A. Nerecionis (H) for J. Šlapka (H).
101245693,1,4:05,11 — 12,SUBSTITUTION,F. Abatematteo (A) was replaced by A. Kišák (A) at SF.
